Category,Title,Description,Startdate,Times,EventUrl,Neighborhood,Location,imageURl
Street Festival,Taste of Randolph,"The summer’s #1 street festival is returning to Chicago’s West Loop for its 19th year. As the city’s leading annual celebrations, this three-day cross-cultural celebration will mix extraordinary food, brilliant artisans and diverse musical offerings. Top restaurants will bring their bold cuisines from near and far. Don’t be surprised to see food and drink options from all your favorites… belly-Q, Publican Quality Meats, De Cero and Vivo.

Taste of Randolph will bring three eclectic stages featuring unbelievable talent including Chicago’s brightest young musical acts extending from indie rock to dance music. To boost the festivities up a notch, The Mid, a venue highlighting some of the nation’s top DJ’s, will host a stage. Get ready to get down and take the party post-festival, to one of the many Official After Parties at nearby venues.","June 19-21, 2015","Friday, 5-10 pm; Saturday & Sunday, 12 Noon-10 pm",http://starevents.com/,West Loop,"1200 W. Randolph St. Chicago, IL 60607",http://www.cityofchicago.org/content/dam/city/depts/dca/Neighborhood%20Festivals/tasterandolph600.jpg
Street Festival,6 Corners BBQ Fest,"The Six Corners district in the heart of Portage Park celebrates Father's Day Weekend at this 5th annual neighborhood fest. Highlights include mouth-watering food, two music stages, kids' activities, a "Meat on Milwaukee" amateur chef competition, artisans and fun-filled pro-wrestler shows.","June 20 & 21, 2015","Saturday, 12 Noon-10 pm; Sunday, 12 Noon-8 pm",http://www.6cornersbbqfest.com/,Portage Park,"4800 W Irving Park Rd. Chicago, IL 60641",http://www.chicagoevents.com/cm/eventmedia/ev314/6CornersBBQFest2015Logo_Web_250x2501.jpg
Street Festival,Gold Coast Art Festival,"The Gold Coast Art Fair is heralded as the “Granddaddy of American Art Festivals” and is rated as one of the top 30 shows in the nation by Sunshine Artist magazine. Now celebrating its 58th year, the Gold Coast Art Fair is the third oldest and by far one of the most well attended art festivals in Chicago. The festival proudly returns to Grant Park, Chicago’s premier festival destination! Located within walking distance of the Art Institute of Chicago and Buckingham Fountain, the art festival draws hundreds of thousands art enthusiasts annually! An improved layout makes the festival even more enjoyable for the artists and the loyal art lovers that shop the show year after year.

Approximately 350 of the finest artist from coast to coast and around the world will show, sell and demonstrate their art. Children's and family activities, live music and food will add to the event. The event will be handicap accessible. The event will be supported by a strong multi-layered marketing program and produced by Amdur Productions, with 30 years of festival production experience.","June 20 & 21, 2015","10 am-6 pm",http://amdurproductions.com/,Butler Field in Grant Park,"E. Monroe St. and S. Lake Shore Dr. Chicago, IL 60605",http://www.cityofchicago.org/content/dam/city/depts/dca/Neighborhood%20Festivals/GC600.jpg
Street Festival,Green Music Fest,"One part music, one part environment is the recipe behind the annual Green Music Fest. For a 7th consecutive summer, Green Music Fest aims to rock Chicagoans into making environmentally-conscious choices in their lives. As always, heart-pounding live music is the pulse of the weekend, and this year features the return of the ridiculously popular ‘pedal-powered’ stage that debuted in 2014. Besides stationary cyclists providing the natural wattage for the music, this unique Chicago street festival pairs culturally relevant performances alongside vendors championing green business practices, with demonstrations, arts & crafts and the Green Family Fun Fest – all wrapped up into one summer weekend in Wicker Park.","June 20 & 21, 2015","12 Noon-10 pm",http://www.greenmusicfestchicago.com/,Wicker Park,"1414 N Damen Ave
Chicago, IL 60622",http://www.cityofchicago.org/content/dam/city/depts/dca/Neighborhood%20Festivals/greenmusicfest600.jpg
Street Festival,Elston Avenue Sausage Fest,"Encased meats will be in the spotlight at this ALL-NEW fest just two blocks north of the busy intersections of Addison Street and Elston Avenue. Adding to the weekend's happenings will be plenty of live music, arts & crafts and activities for kids","June 27 & 28, 2015","12 Noon-10 pm",http://www.chicagoevents.com/, Irving Park,"3800 N. Elston Ave. Chicago, IL 60615",http://www.cityofchicago.org/content/dam/city/depts/dca/Neighborhood%20Festivals/sausage6001.jpg
Street Festival,Windy City Ribfest in Uptown,"Saucy fun is what this 7th annual fest is all about! There will tasty slabs from top Chicago and national ribbers, an eclectic music stage with local and national acts, arts/crafts, and, each afternoon, a kids' activity area.","July 3-5, 2015","Friday, 5-10 pm; Saturday, 12 Noon-10 pm; Sunday, 12 Noon-9 pm",http://chicagoevents.com/event.cfm?eid=190,Uptown,"4700 N. Broadway. Chicago, IL 60640",http://www.cityofchicago.org/content/dam/city/depts/dca/Neighborhood%20Festivals/WCRF800.jpg
Street Festival,Square Roots – Craft Brew & Music Experience,"The Lincoln Square Ravenswood Chamber of Commerce (LSRCC) and Old Town School of Folk Music (OTSFM) present the 4th Annual Square Roots craft beer and music experience in Chicago’s Lincoln Square. Over 30,000 fans attend Square Roots each year to enjoy more than 30 local craft brews, great food and the diverse genres of entertainment that only the Old Town School of Folk Music can provide.

Square Roots isn’t your typical food and music festival; we tap into all that Lincoln Square has to offer to provide a multidimensional event that appeals to music, food and craft beer enthusiasts.

Live entertainment: 70 acts including music, jams, dance and family activities on 4 stages (2 indoor and 2 outdoor).

Craft Beer: More than 40 tasty selections (plus premium batch and limited release special tastings throughout the weekend) from the best local and regional craft breweries.

Cuisine: Eclectic fare from amazing Lincoln Square and Ravenswood restaurants.","July 10, 11 & 12, 2015","Friday, 5-10 pm; Saturday, 12 Noon-10 pm; Sunday, 12 Noon-9 pm",http://www.squareroots.org/,Lincoln Square,"4560 N. Lincoln Ave. Chicago, IL 60625",http://www.cityofchicago.org/content/dam/city/depts/dca/Neighborhood%20Festivals/rootsfest600.jpg
Street Festival,Roscoe Village Burger Fest,"The savory patty and a rockin' music lineup are in the spotlight for Roscoe Village's 6th annual burger extravaganza. In addition to tasty burgers from more than a dozen local restaurants, there's music on two stages, arts/crafts and a popular "Kids' Zone" activity area.","July 11 & 12, 2015",11 am-10 pm,http://www.roscoevillageburgerfest.com/,Roscoe Village,"2000 W. Belmont Ave. Chicago, IL 60618",http://www.chicagoevents.com/cm/eventmedia/ev179/RVBF15_250x250.gif
Street Festival,Taste of Lakeview,"Let’s get down to business and talk about what this festival is really about- food! Just a week prior to the Taste of Chicago, local foodies will get the opportunity to put their taste buds to the test and enjoy local savory summer dishes. Lakeview’s favorite food vendors will bring their A-game with everything from piping hot Chicago style pizza to cool and refreshing ice cream and gelato! Make sure to bring your appetite!

After your stomachs are full of favorite treats be sure to swing by the main stage to dance off a few calories and enjoy Chicago’s hottest musical acts. And if dancing isn’t your thing or you’re just looking to top off the experience, artisans and craft vendors will help complete your festival experience!","July 11 & 12, 2015","Saturday, 12 Noon-10 pm; Sunday, 12 Noon-9 pm",http://starevents.com/,Lakeview,"3200 N. Lincoln Ave.
Chicago, IL 60657",http://starevents.com/wp-content/uploads/2012/12/TasteOfLkvw_RGB.jpg
Street Festival,West Fest,"West Fest is known best for its cutting edge music. West Fest provides the stage to show why West Town is one of the hottest up-and-coming neighborhoods in the city. The event is locally planned and managed by the West Town Chamber of Commerce, thus the emphasis is on 'local,' from the food to the participants. Lined with independent, locally-owned businesses, West Town's streets continue to blossom with new restaurants, cafes, boutiques and services - many of them represented as vendors at West Fest.","July 11 & 12, 2015",12 Noon-10 pm, ,West Town,"Damen and Paulina. Chicago, IL 60622",http://www.cityofchicago.org/content/dam/city/depts/dca/Neighborhood%20Festivals/westfest600.jpg
Street Festival,Taste of River North,"The Taste of River North (ToRN) grows in popularity each year, with close to 50,000 attending in 2014. Now in its 14th season, ToRN will take place again in the picturesque riverfront setting of beautiful Ward Park. Along with a vast selection of notable River North restaurants, chefs and artisans from the neighborhood, ToRN also includes non-stop live music, boasting Chicago’s best party and tribute bands. ToRN has something that appeals to everyone, featuring three days of amazing River North cuisine along with a dedicated Kid’s Zone.","July 17-19, 2015","Friday, 5-10 pm; Saturday, 12 Noon-10 pm; Sunday, 11 am-8 pm",http://www.tasteofrivernorth.com/,River North,"472 W Erie St
Chicago, IL 60654",http://www.chicagonow.com/show-me-chicago/files/2014/03/fest4tasterivernorth.jpg
Street Festival,Sheffield Music Festival & Garden Walk,"More than 80 of the neighborhood's lush residential gardens will be open for the public to explore at this iconic event that is celebrating its 47th year in 2015. The weekend also includes music on two stages, food, and the sprawling Kids' Corner with lots of activities and performances.","July 18 & 19, 2015","12 Noon-10 pm",http://www.sheffieldgardenwalk.com/,Lincoln Park,"2200 N. Sheffield Chicago, IL 60614",http://www.drinkaspireusa.com/wp-content/uploads/2014/07/ASP-SHEFFIELD-GRDN-WLK-BLOG.jpg
Street Festival,Chinatown Summer Fair,"This iconic and popular annual celebration of Far East Culture returns for its 37th festive year. It features the Dragon & Lion Dance Procession, artisans, plenty of great cuisine, activities for families and children, and more.","July 19, 2015",10 am-8 pm,http://www.chicagochinatown.org/,Chinatown,"2200 S. Wentworth. Chicago, IL 60616",http://www.chinatownspecialevents.org/wp-content/uploads/2013/09/%E9%8A%85%E6%A2%81%E9%BE%8D%E8%88%9E%E5%9C%98%E7%B5%84-8-e1380989681986.jpg
Street Festival,Taste of Lincoln Avenue,"One of the city's most iconic summer street happenings celebrates its 32nd year in 2015. The sprawling fest takes place over several city blocks in the heart of Lincoln Park. Features 250-plus vendors, food, nearly 40 acts on three music stages, a popular Kids' Carnival with tons of activities, and the Lill Street Craft Fair.","July 25 & 26, 2015",12 Noon-10 pm,http://www.tasteoflincolnchicago.com/,Lincoln Park,"2398 N Lincoln Ave. Chicago, IL 60614",http://vinnievanaction.com/wp-content/uploads/2013/07/taste-of-lincoln-ave.jpg
Street Festival,Wicker Park Fest,"The festival described as the “best street fest” by Chicago magazine and one of the Top 10 summer festivals by Chicago Tribune returns for a 12th consecutive year to the Milwaukee Avenue corridor. Presented by the Wicker Park Bucktown Chamber of Commerce, Wicker Park Fest annually draws close to 70,000. This year’s colossal street party presents three stages of continuous live music, a dedicated children’s fun area, an arts section with installation and performance acts, dozens of local vendors and restaurants, and environmentally-friendly production efforts. To top it off, the $5 suggested donation for admittance makes Wicker Park Fest another steal of the summer music season.","July 25 & 26, 2015",12 Noon-10 pm,http://www.wickerparkbucktown.com/fest,Wicker Park,"1438 N Milwaukee Ave, Chicago, IL 60622",http://www.cityofchicago.org/content/dam/city/depts/dca/Neighborhood%20Festivals/WickerParkFest600.jpg
Street Festival,EdgeFest,"Explore EdgeFest for a taste of the best we have to offer. Make your way through the festival tasting authentic Ethiopian or Vietnamese food, relax on our grassy knoll with a book from an Edgewater Reads Little Library, and meet some of our local business owners to find out why Edgewater has so many unique local businesses! EdgeFest features Chicago artisans, an interactive kids’ tent, and plenty of food, drink, and music!","August 1 & 2, 2015","Saturday, 12 Noon-10 pm; Sunday, 11 am-9 pm",http://www.starevents.com/,Edgewater,"5935 N Broadway St. Chicago, IL 60660",http://starevents.com/wp-content/uploads/2012/12/Edge-Fest.png
Street Festival,Chicago Hot Dog Fest,"The fabulous frankfurter will be celebrated at this third annual outdoor event at the south end of Lincoln Park that benefits the Chicago History Museum. Also features a music stage and kids' activities.","August 7-9, 2015","Friday & Saturday, 11 am-9 pm; Sunday, 11 am-8 pm",http://www.chicagohotdogfest.com/,Lincoln Park,"1601 N. Clark St. Chicago, IL 60614",https://classic.regonline.com/custImages/270000/273927/2015%20Events/CHDF15_Logo_Web.jpg
Street Festival,Retro on Roscoe,"Three stages will be spread amongst an eminent six-block stretch in Chicago’s favorite Roscoe Village. Live music will play oldies and throwbacks along with popular hits to keep festival goers moving through the sizzling summer nights! The soundtrack for the annual Retro on Roscoe will rock your socks!

After eating some small bites make sure to head over to the family area that offers prime inflatables, delectable crafts, balloon artists, face painting, music, rides and more. Once the kids have their dose of entertainment, put the pedal to the metal with the Antique and Classic Car and Motorcycle Show. Presented by Four Treys Bar, Retro’s Antique Car Show will showcase over 50 antique, classic and muscle cars throughout the festival weekend.","August 7-9, 2015","Friday, 5–10 pm; Saturday & Sunday, 12 Noon–10 pm",http://www.starevents.com/,Roscoe Village,"2000 W. Roscoe St. Chicago, IL 60618",http://roscoevillage.org/wp-content/uploads/2014/07/retro2014_home.jpg
Street Festival,Wrigleyville Summerfest,"Enjoy this triple play of great food, music and family fun starting Saturday at noon. A diverse lineup of delicious food and beverages will be available throughout Wrigleyville Summerfest as your stroll the historic streets. Top neighborhood vendors and restaurants will serve up their favorite savory summer cuisines and treats. Seem like we’re missing a beverage? Don’t worry, there will be beer to pair with these delectable munchies!

An exciting array of musical talent will keep the two-day party going and feature some of the best original and cover artists Chicago has to offer. Adults and kids alike will be able to not only enjoy the music but also enjoy the beautiful summer weather. Wrigleyville Summer fest will also feature a special Kids Zone with games and other activities such as a moon bounce! DNA Info suggests that “adults manning the strollers can hit up food and shopping booths” while the kids are amused.","August 8 & 9, 2015","Saturday, 12 Noon-10 pm; Sunday, 12 Noon-9 pm",http://starevents.com/,Wrigleyville,"3550 North Seminary Ave. Chicago, IL 60657",http://www.cityofchicago.org/content/dam/city/depts/dca/Neighborhood%20Festivals/wrigleysummerfest800.jpg
Street Festival,Festa Italiana,"Festa Italiana will fill your senses with la dolce vita of Italy. The 10th annual Festa stretches along Taylor Street between Ashland Avenue and Racine Street. Longtime family-owned restaurants and neighborhood newcomers will offer some of the best food in the city. Italian and Italian-America singers will perform American and Italian classics. An Italian dance troupe will perform and teach the tarantella, a well-loved Italian folk dance performed at Italian weddings. Fest-goers will have the opportunity to play Italian card games, compete in contests to see who can eat the most meatballs and cannoli (not at the same time!) and buy Italian-themed art, Christmas ornaments and other products.

The Fest also will offer trolley tours of Little Italy, Chicago’s oldest Italian neighborhood, which was a portal for thousands of immigrants at the beginning of the 20th century.

On Sunday, Aug. 16, a tradition the immigrants brought with them from Italy will be re-enacted with a procession from the storied Shrine of Our Lady of Pompeii to the Festa site. A traditional Italian marching band will lead flag-bearers and worshippers from the 11am mass through the streets of the neighborhood, up Taylor Street to the Rosebud Stage for a short performance of centuries-old Italian tunes.","August 13-16, 2015","Thursday, 5-10 pm; Friday & Saturday, 12 Noon-11 pm; Sunday, 12 Noon-10 pm",http://uvalittleitaly.com/,Little Italy,"1599 W Taylor St. Chicago, IL 60607",http://starevents.com/wp-content/uploads/2013/12/Logo_ItalianaRGB.png
Street Festival,Glenwood Avenue Arts Fest,"The 14th annual Glenwood Avenue Arts Fest (GAAF) is a free, weekend-long arts festival that features 100+ artists, open studios, and live entertainment on three outdoor stages. Experience art of all disciplines, music, theater, food and drink on the cobblestone streets of the Glenwood Avenue Arts District in Chicago’s historic Rogers Park neighborhood.

There is also a free Fest launch party, the Friday Night Cobblestone Jam, on Friday August 14, from 6pm to 10pm, at the North Stage, 7000 N. Glenwood.","August 15 & 16, 2015",11 am-9 pm,http://www.glenwoodave.org/,Rogers Park,"6920 N Glenwood Ave
Chicago, IL 60626",http://www.cityofchicago.org/content/dam/city/depts/dca/Neighborhood%20Festivals/glenwood800.jpg
Street Festival,Clark After Dark,"Support Illinois troops and their families with live music, drinks, live auction and a raffle. Over 2.4 million Americans serve our nation in Uniform. Over 80,000 troops from Illinois have deployed since 9/11. Over 300,000 receive support every year from the USO of Illinois.","August 20, 2015",4-10 pm,http://starevents.com/, ,"420 N Clark St. Chicago, IL 60654",http://www.cityofchicago.org/content/dam/city/depts/dca/Neighborhood%20Festivals/clarkdark600.jpg
Street Festival,Albany Park World Fest,"The eclectic northwest side neighborhood will celebrate its melting pot diversity at this 2nd annual festival. Features global music, food, arts & crafts and carnival rides.","August 22 & 23, 2015","Saturday, 12 Noon-10 pm; Sunday, 12 Noon-9 pm",http://www.chicagoevents.com/,Albany Park,"4798 N Kimball Ave. Chicago, IL 60625",http://www.cityofchicago.org/content/dam/city/depts/dca/Neighborhood%20Festivals/albany6002.jpg
Street Festival,Taste of Greektown,"Hellenic pride will take center stage when this annual culinary fest in Chicago's West Loop returns for its 26th year. Food and spirits from neighborhood eateries will again be the main attraction. There will also be entertainment including Greek bands and games for both kids and families.","August 22 & 23, 2015","12 Noon-11 pm",http://chicagoevents.com/event.cfm?eid=287,West Loop,"400 S. Halsted St.
Chicago, IL 60607",http://www.unieros.com/sites/default/files/images/tasteGreecePhotos.jpg
Street Festival,Chicago Fashion Fest,"Two days of non-stop fashionista action celebrating the latest looks from Chicago’s top designers and boutiques on a bleachered-in runway stage. Bands and DJs will set the tone as models tout “What’s in” in over 20 fashion runway show segments such as vintage, avante garde, bridal, teens & kids, doggie couture, ‘Do-Fashion’ (with only Division Street boutiques). "Shopper’s Row" is home to 50 exclusive booths of local fashion designers, boutiques, and salons, as well as food and drink tents and a dedicated “Back to School” kids area. Each night there's a Wicker Park after Dark charity-hosted red carpet extravaganza.","August 29 & 30, 2015","12 Noon-10 pm, Wicker Park After Dark runway shows 8 pm",http://www.chicagofashionfest.com/,Wicker Park/West Town,"1700 W. Division St. Chicago, IL 60622",http://svcdn.simpleviewinc.com/v3/cache/chicago/35AD3B6B9C586E559327521321B1B0AA.jpg
